STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,geometry,area_sq_km,fips,total_population,median_household_income,total_housing_units,median_gross_rent,bachelors_degree,masters_degree,doctorate_degree,work_from_home,total_commuters,commute_60_plus_minutes,male_under_5,female_under_5,male_65_to_66,male_67_to_69,female_65_to_66,female_67_to_69,owner_occupied_housing,renter_occupied_housing,state,county,state_fips,county_fips,pct_bachelors_plus,pct_masters_plus,pct_doctorate,pct_work_from_home,pct_long_commute,total_under_5,total_65_plus,pct_under_5,pct_65_plus,total_occupied_housing,pct_owner_occupied,housing_density,log_population,population_density,log_pop_density,income_quintile,education_income_index,education_opportunity_index,mobility_score,projected_income_2029,income_growth_rate,development_type
17,127,01784730,0500000US17127,17127,Massac,Massac County,IL,Illinois,06,614218330,12784614,"POLYGON ((-88.928757 37.302848, -88.905071 37.335743, -88.710738 37.337081, -88.49033 37.159462, -88.4904810043425 37.0679561064856, -88.531576 37.067192, -88.5610581316174 37.0840080816083, -88.61144 37.112745, -88.693983 37.141155, -88.753068 37.154701, -88.835051 37.196486, -88.9278935494308 37.226353966835, -88.928757 37.302848))",999.3118518941985,17127,14135,57365,6832,738,1021,355,37,4,5421,149,387,344,151,296,204,223,4227,1186,17,127,17,127,7.223204810753449,2.511496285815352,0.2617615847187832,0.07378712414683637,2.7485703744696552,731,874,5.171559957552176,6.183233109303148,5413,78.08978385368557,0.4833392288645207,4.150295812825538,14.144733671683236,1.1802616404331299,Low,0.2698245012322213,0.2698245012322213,0.25299915671542705,69802.39575783329,21.68115707806728,Suburban
27,017,00659454,0500000US27017,27017,Carlton,Carlton County,MN,Minnesota,06,2230473967,36173451,"POLYGON ((-93.061332 46.76655, -92.301676 46.764134, -92.292192 46.663242, -92.292371 46.495585, -92.2927598024283 46.41721950288, -93.054847 46.419269, -93.061332 46.76655))",4784.131294829812,27017,36362,74660,15739,955,4272,1564,219,48,15287,321,930,907,477,698,402,643,10979,2816,27,017,27,017,11.74852868379077,4.3011935537099175,0.6022771024696111,0.3139922810230915,2.0998233793419243,1837,2220,5.0519773389802545,6.105274737363181,13795,79.58680681406307,0.432841977889005,4.5606477624783155,7.600543914690686,0.9345259177178887,Highest,0.38418249503919,0.38418249503919,0.34127010997426543,88862.4868233491,19.02288618182306,Small Town
37,181,01008591,0500000US37181,37181,Vance,Vance County,NC,North Carolina,06,653701481,42190675,"POLYGON ((-78.497783 36.514477, -78.4572778962559 36.5414487083995, -78.323718509559 36.5424213915586, -78.277165 36.306132, -78.306965 36.266191, -78.37814 36.235065, -78.42188 36.164309, -78.496614 36.175199, -78.511224 36.454808, -78.497783 36.514477))",1041.0176568377578,37181,42492,48340,19392,830,3502,1328,83,3,16171,370,1453,1307,283,899,373,1136,9518,6605,37,181,37,181,8.241551350842512,3.125294173020804,0.19533088581380026,0.018551728402696185,2.288046502999196,2760,2691,6.495340299350466,6.332956791866705,16123,59.033678595794825,0.45636825755436317,4.6283071728057354,40.81775147702645,1.6213606772771352,Lowest,0.2576709860206989,0.2576709860206989,0.23737967935760548,59160.04487007373,22.383212391546813,Urban
47,079,01639755,0500000US47079,47079,Henry,Henry County,TN,Tennessee,06,1455320362,81582236,"POLYGON ((-88.5163580599794 36.5014641981633, -88.51192 36.501457, -88.4890767387132 36.5012837190757, -88.127378 36.49854, -88.0533508007759 36.4999962506816, -88.061428 36.443992, -87.99092 36.360133, -88.095868 36.359265, -88.083157 36.256724, -88.136905 36.209537, -88.196827 36.129791, -88.212559 36.12029, -88.211698 36.145974, -88.530322 36.152023, -88.5163580599794 36.5014641981633))",2379.6171304383606,47079,32305,48025,16976,727,2900,971,279,73,12076,469,786,823,275,636,570,777,9897,3236,47,079,47,079,8.976938554403343,3.005726667698499,0.8636433988546666,0.6045048029148725,3.883736336535277,1609,2258,4.980653149667234,6.989630088221638,13133,75.35978070509404,0.5254914099984522,4.509269745376188,13.575713330845346,1.1636298181870812,Lowest,0.2670869750972229,0.2670869750972229,0.25846688931852657,61410.15409877322,27.871221444608473,Suburban
06,021,00277275,0500000US06021,06021,Glenn,Glenn County,CA,California,06,3403160299,33693344,"POLYGON ((-122.911794 39.799485, -122.046471 39.797648, -121.947267 39.731202, -121.994343 39.671458, -121.994021 39.533926, -121.856532 39.536904, -121.890013 39.383864, -122.008857 39.413567, -122.136006 39.385494, -122.739062 39.383266, -122.735639 39.580668, -122.885352 39.580108, -122.892676 39.708898, -122.937654 39.798156, -122.911794 39.799485))",5774.256327839193,06021,28657,64033,10914,978,2120,432,82,7,11225,268,1243,841,312,483,437,503,5906,3836,06,021,06,021,7.397843458840772,1.5074850821788741,0.28614300170987894,0.06236080178173719,2.387527839643653,2084,1735,7.272219701992533,6.054367170324877,9742,60.62410182714022,0.38084935617824617,4.457230723687269,4.962890175456386,0.7754568105812749,Middle,0.29183851198298677,0.29183851198298677,0.27676251200599955,75389.8068783704,17.735865691706444,Small Town
17,093,00424248,0500000US17093,17093,Kendall,Kendall County,IL,Illinois,06,829412771,5136525,"POLYGON ((-88.601933 41.719563, -88.261952 41.724652, -88.261275 41.724656, -88.252231 41.463066, -88.595961 41.457129, -88.60224 41.631389, -88.601933 41.719563))",1491.3075141876996,17093,132795,106358,45078,1695,19178,9370,884,609,59948,2283,4233,3994,1052,1486,1240,1504,36899,6979,17,093,17,093,14.441808803042283,7.055988553785911,0.6656877141458639,1.015880429705745,3.808300527123507,8227,5282,6.195263375880116,3.977559396061599,43878,84.09453484662018,0.3394555517903535,5.123181723275303,89.04602084857872,1.954464526020767,Highest,0.5150276638026241,0.5150276638026241,0.4042309618795973,126774.1535946658,19.195691527356473,Urban
19,095,00465236,0500000US19095,19095,Iowa,Iowa County,IA,Iowa,06,1518911690,2686847,"POLYGON ((-92.298164 41.862779, -91.831379 41.861851, -91.829231 41.511457, -91.946043 41.510749, -92.297494 41.50979, -92.298164 41.862779))",2729.5428498407664,19095,16575,69787,7342,732,1876,533,98,0,7688,117,510,418,224,266,216,198,5281,1517,19,095,19,095,11.318250377073905,3.215686274509804,0.5912518853695324,0.0,1.5218522372528616,928,904,5.5987933634992455,5.453996983408748,6798,77.68461312150633,0.4429562594268477,4.219453537076811,6.072445428349637,0.8495696050851179,High,0.3638391241132799,0.3638391241132799,0.3289308029173629,90077.92233194123,29.075504509351635,Small Town
22,003,00558397,0500000US22003,22003,Allen,Allen Parish,LA,Louisiana,15,1973788820,10457653,"POLYGON ((-93.130732 30.598093, -92.979098 30.597995, -92.978673 30.878136, -92.838273 30.877184, -92.82387 30.892071, -92.740222 30.891503, -92.622883 30.898761, -92.597798 30.896001, -92.583508 30.56269, -92.630321 30.488012, -92.773981 30.488218, -92.775737 30.437617, -93.065525 30.438677, -93.131155 30.423591, -93.130732 30.598093))",2721.8081473791426,22003,22798,52755,9532,734,1285,480,10,70,7400,255,690,669,343,250,137,279,5804,1832,22,003,22,003,5.636459338538468,2.105447846302307,0.04386349679796473,0.945945945945946,3.445945945945946,1359,1009,5.961049214843407,4.4258268269146415,7636,76.00838135149293,0.4181068514781998,4.357896749322294,8.376049583785848,0.9720198953791824,Low,0.2339920026357452,0.2339920026357452,0.2351322691412812,64921.375500633076,23.062032983855694,Small Town
18,055,00451676,0500000US18055,18055,Greene,Greene County,IN,Indiana,06,1404983953,8919619,"POLYGON ((-87.240737 39.171773, -87.054578 39.168086, -86.683002 39.165746, -86.682277 38.992404, -86.682853 38.904697, -86.904252 38.904204, -87.03542 38.90246, -87.098771 38.903974, -87.129882 38.907315, -87.241027 38.907874, -87.240737 39.171773))",2344.025029253345,18055,30900,57771,14385,740,2434,840,73,36,12636,390,837,786,357,601,251,430,9536,3107,18,055,18,055,7.877022653721682,2.7184466019417477,0.23624595469255663,0.2849002849002849,3.0864197530864197,1623,1639,5.252427184466019,5.3042071197411005,12643,75.42513643913628,0.46553398058252426,4.489958479424835,13.182453094301106,1.1517513558947772,Low,0.2802084092610116,0.2802084092610116,0.262481081390582,67153.01268699512,16.24000395872518,Suburban
33,001,00873174,0500000US33001,33001,Belknap,Belknap County,NH,New Hampshire,06,1040779612,176541258,"POLYGON ((-71.727573 43.563411, -71.651153 43.621119, -71.648346 43.684511, -71.521557 43.697778, -71.531658 43.760979, -71.43989 43.695558, -71.258259 43.571345, -71.162675 43.538959, -71.159364 43.355123, -71.236011 43.284994, -71.55003 43.452701, -71.612838 43.43813, -71.706346 43.537623, -71.727573 43.563411))",2360.5391561134575,33001,63914,80719,38478,1153,9127,4956,502,76,28923,922,1274,1349,752,1651,889,1334,20011,5945,33,001,33,001,14.28012641987671,7.754169665487999,0.7854304221297369,0.26276665629429863,3.187774435570307,2623,4626,4.103952185749601,7.237850862095942,25956,77.09585452303898,0.6020277247551398,4.805595998327254,27.07601771166215,1.4483355077134876,Highest,0.43755031851974974,0.43755031851974974,0.3674177108281337,99523.7311248762,23.296536286222814,Suburban
