measurements_unit,measurements_value,coordinates,measurements_sourcename,measurements_lastupdated,measurements_parameter,country_name_en,country,location,city,latitude,longitude,date,hour,day_of_week,month
µg/m³,759.0,"[46.668115, 21.06731]",hungary-nms,2025-01-31 23:00:00+00:00,CO,Hungary,HU,Békéscsaba,Békéscsaba,21.06731,46.668115,2025-01-31,23,4,1
µg/m³,10.8,"[46.668115, 21.06731]",hungary-nms,2025-01-31 23:00:00+00:00,O3,Hungary,HU,Békéscsaba,Békéscsaba,21.06731,46.668115,2025-01-31,23,4,1
µg/m³,11.4,"[46.668115, 21.06731]",hungary-nms,2025-01-31 23:00:00+00:00,SO2,Hungary,HU,Békéscsaba,Békéscsaba,21.06731,46.668115,2025-01-31,23,4,1
µg/m³,34.0,"[46.668115, 21.06731]",hungary-nms,2025-01-31 23:00:00+00:00,PM2.5,Hungary,HU,Békéscsaba,Békéscsaba,21.06731,46.668115,2025-01-31,23,4,1
µg/m³,37.0,"[46.668115, 21.06731]",hungary-nms,2025-01-31 23:00:00+00:00,PM10,Hungary,HU,Békéscsaba,Békéscsaba,21.06731,46.668115,2025-01-31,23,4,1
µg/m³,36.6,"[46.668115, 21.06731]",hungary-nms,2025-01-31 23:00:00+00:00,NO2,Hungary,HU,Békéscsaba,Békéscsaba,21.06731,46.668115,2025-01-31,23,4,1
µg/m³,18.0,"[13.08784, 80.278475]",AirNow,2025-01-31 09:30:00+00:00,PM2.5,India,IN,Chennai,India,80.278475,13.08784,2025-01-31,9,4,1
µg/m³,109.0,"[22.56263, 88.36304]",AirNow,2025-01-31 09:30:00+00:00,PM2.5,India,IN,Kolkata,India,88.36304,22.56263,2025-01-31,9,4,1
µg/m³,79.0,"[27.712464, 85.315703]",AirNow,2025-01-31 09:15:00+00:00,PM2.5,Nepal,NP,Phora Durbar Kathman,,85.315703,27.712464,2025-01-31,9,4,1
ppm,0.033,"[27.712464, 85.315703]",AirNow,2025-01-31 09:15:00+00:00,O3,Nepal,NP,Phora Durbar Kathman,,85.315703,27.712464,2025-01-31,9,4,1
